date,pred_time_index,country,model,actual,forecast,error,abs_error,sq_error
2021-01-24,56,Australia,hhh4_full,72,160.49554813128145,-88.49554813128145,88.49554813128145,7831.462039055952
2021-01-31,57,Australia,hhh4_full,45,106.46927058326955,-61.46927058326955,61.46927058326955,3778.471226039207
2021-02-07,58,Australia,hhh4_full,42,65.89237817860649,-23.892378178606492,23.892378178606492,570.8457350295516
2021-02-14,59,Australia,hhh4_full,44,61.11728811093656,-17.117288110936563,17.117288110936563,293.0015522728102
2021-02-21,60,Australia,hhh4_full,28,64.44479925755593,-36.44479925755593,36.44479925755593,1328.2233929235492
2021-02-28,61,Australia,hhh4_full,45,43.58172197770181,1.418278022298189,1.418278022298189,2.0115125485340624
2021-03-07,62,Australia,hhh4_full,65,68.24648000126749,-3.2464800012674857,3.2464800012674857,10.539632398629735
2021-03-14,63,Australia,hhh4_full,82,93.78094765526895,-11.780947655268946,11.780947655268946,138.79072765618687
2021-03-21,64,Australia,hhh4_full,80,114.8828846218735,-34.8828846218735,34.8828846218735,1216.8156395429387
2021-03-28,65,Australia,hhh4_full,60,110.63560001702749,-50.635600017027485,50.635600017027485,2563.9639890843937
2021-04-04,66,Australia,hhh4_full,89,82.68688466995664,6.31311533004336,6.31311533004336,39.855425170428475
2021-04-11,67,Australia,hhh4_full,55,122.35626046778795,-67.35626046778795,67.35626046778795,4536.865824204493
2021-04-18,68,Australia,hhh4_full,109,77.63966691479929,31.360333085200708,31.360333085200708,983.4704912147341
2021-04-25,69,Australia,hhh4_full,153,152.3787160781025,0.6212839218974864,0.6212839218974864,0.38599371160832197
2021-05-02,70,Australia,hhh4_full,154,210.0421228623831,-56.04212286238311,56.04212286238311,3140.7195349224435
2021-05-09,71,Australia,hhh4_full,94,207.80174544607365,-113.80174544607365,113.80174544607365,12950.837266572946
2021-05-16,72,Australia,hhh4_full,61,125.7999533752197,-64.7999533752197,64.7999533752197,4199.033957430647
2021-05-23,73,Australia,hhh4_full,37,81.56197257762089,-44.56197257762089,44.56197257762089,1985.7694000086365
2021-05-30,74,Australia,hhh4_full,79,50.37096465807042,28.62903534192958,28.62903534192958,819.621664609453
2021-06-06,75,Australia,hhh4_full,75,107.35495154588531,-32.354951545885314,32.354951545885314,1046.8428895365864
2021-06-13,76,Australia,hhh4_full,79,104.14054498547263,-25.14054498547263,25.14054498547263,632.047002166573
2021-06-20,77,Australia,hhh4_full,86,110.12412688728391,-24.124126887283907,24.124126887283907,581.9734980737743
2021-06-27,78,Australia,hhh4_full,134,116.76560711030194,17.234392889698057,17.234392889698057,297.02429827647495
2021-07-04,79,Australia,hhh4_full,277,177.18917385430535,99.81082614569465,99.81082614569465,9962.201015886083
2021-07-11,80,Australia,hhh4_full,283,362.87330195221114,-79.87330195221114,79.87330195221114,6379.744364749095
2021-07-18,81,Australia,hhh4_full,754,370.449229782543,383.550770217457,383.550770217457,147111.1933344045
2021-07-25,82,Australia,hhh4_full,984,984.3499702553795,-0.3499702553795032,0.3499702553795032,0.1224791796503947
2021-08-01,83,Australia,hhh4_full,1154,1283.6391765117417,-129.63917651174165,129.63917651174165,16806.31608664251
2021-01-24,56,Brazil,hhh4_full,360428,561225.7394336404,-200797.73943364038,200797.73943364038,40319732161.66014
2021-01-31,57,Brazil,hhh4_full,364593,527155.7925402701,-162562.79254027014,162562.79254027014,26426661518.49091
2021-02-07,58,Brazil,hhh4_full,328652,527248.5175720648,-198596.51757206477,198596.51757206477,39440576791.75143
2021-02-14,59,Brazil,hhh4_full,318290,470004.2149682874,-151714.2149682874,151714.2149682874,23017203023.443718
2021-02-21,60,Brazil,hhh4_full,316221,450711.47103991004,-134490.47103991004,134490.47103991004,18087686800.53688
2021-02-28,61,Brazil,hhh4_full,373954,443412.0966443523,-69458.0966443523,69458.0966443523,4824427189.456185
2021-03-07,62,Brazil,hhh4_full,413597,521621.2970531628,-108024.29705316282,108024.29705316282,11669248753.829962
2021-03-14,63,Brazil,hhh4_full,494153,572991.1456101,-78838.14561010001,78838.14561010001,6215453203.239331
2021-03-21,64,Brazil,hhh4_full,508010,681666.0958743842,-173656.09587438416,173656.09587438416,30156439634.333305
2021-03-28,65,Brazil,hhh4_full,533024,696425.5250343648,-163401.52503436478,163401.52503436478,26700058383.55614
2021-04-04,66,Brazil,hhh4_full,505668,726467.975460536,-220799.97546053596,220799.97546053596,48752629163.37328
