ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000",PartOfCumulativeCountSeries
COVID-19,Unspecified,UNITED KINGDOM,2020-01-04,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-05,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-06,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-07,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-08,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-09,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-10,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-11,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-12,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-13,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-14,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-15,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-16,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-17,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-18,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-19,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-20,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-21,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-22,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-23,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-24,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-25,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-26,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-27,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-28,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-29,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-30,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-01-31,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-01,World Health Organization COVID-19 Dashboard,1,"67,351,861",0.0015,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-02,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-03,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-04,World Health Organization COVID-19 Dashboard,1,"67,351,861",0.0015,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-05,World Health Organization COVID-19 Dashboard,19,"67,351,861",0.0282,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-06,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-07,World Health Organization COVID-19 Dashboard,1,"67,351,861",0.0015,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-08,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-09,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-10,World Health Organization COVID-19 Dashboard,3,"67,351,861",0.0045,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-11,World Health Organization COVID-19 Dashboard,1,"67,351,861",0.0015,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-12,World Health Organization COVID-19 Dashboard,1,"67,351,861",0.0015,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-13,World Health Organization COVID-19 Dashboard,4,"67,351,861",0.0059,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-14,World Health Organization COVID-19 Dashboard,1,"67,351,861",0.0015,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-15,World Health Organization COVID-19 Dashboard,1,"67,351,861",0.0015,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-16,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-17,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-18,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-19,World Health Organization COVID-19 Dashboard,1,"67,351,861",0.0015,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-20,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-21,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-22,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-23,World Health Organization COVID-19 Dashboard,2,"67,351,861",0.003,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-24,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-25,World Health Organization COVID-19 Dashboard,6,"67,351,861",0.0089,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-26,World Health Organization COVID-19 Dashboard,2,"67,351,861",0.003,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-27,World Health Organization COVID-19 Dashboard,3,"67,351,861",0.0045,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-28,World Health Organization COVID-19 Dashboard,2,"67,351,861",0.003,
COVID-19,Unspecified,UNITED KINGDOM,2020-02-29,World Health Organization COVID-19 Dashboard,8,"67,351,861",0.0119,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-01,World Health Organization COVID-19 Dashboard,12,"67,351,861",0.0178,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-02,World Health Organization COVID-19 Dashboard,4,"67,351,861",0.0059,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-03,World Health Organization COVID-19 Dashboard,20,"67,351,861",0.0297,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-04,World Health Organization COVID-19 Dashboard,41,"67,351,861",0.0609,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-05,World Health Organization COVID-19 Dashboard,57,"67,351,861",0.0846,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-06,World Health Organization COVID-19 Dashboard,56,"67,351,861",0.0831,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-07,World Health Organization COVID-19 Dashboard,49,"67,351,861",0.0728,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-08,World Health Organization COVID-19 Dashboard,83,"67,351,861",0.1232,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-09,World Health Organization COVID-19 Dashboard,68,"67,351,861",0.101,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-10,World Health Organization COVID-19 Dashboard,55,"67,351,861",0.0817,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-11,World Health Organization COVID-19 Dashboard,148,"67,351,861",0.2197,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-12,World Health Organization COVID-19 Dashboard,265,"67,351,861",0.3935,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-13,World Health Organization COVID-19 Dashboard,403,"67,351,861",0.5984,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-14,World Health Organization COVID-19 Dashboard,484,"67,351,861",0.7186,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-15,World Health Organization COVID-19 Dashboard,478,"67,351,861",0.7097,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-16,World Health Organization COVID-19 Dashboard,352,"67,351,861",0.5226,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-17,World Health Organization COVID-19 Dashboard,441,"67,351,861",0.6548,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-18,World Health Organization COVID-19 Dashboard,602,"67,351,861",0.8938,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-19,World Health Organization COVID-19 Dashboard,783,"67,351,861",1.1626,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-20,World Health Organization COVID-19 Dashboard,985,"67,351,861",1.4625,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-21,World Health Organization COVID-19 Dashboard,1042,"67,351,861",1.5471,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-22,World Health Organization COVID-19 Dashboard,1252,"67,351,861",1.8589,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-23,World Health Organization COVID-19 Dashboard,1181,"67,351,861",1.7535,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-24,World Health Organization COVID-19 Dashboard,1363,"67,351,861",2.0237,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-25,World Health Organization COVID-19 Dashboard,2290,"67,351,861",3.4001,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-26,World Health Organization COVID-19 Dashboard,2354,"67,351,861",3.4951,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-27,World Health Organization COVID-19 Dashboard,2666,"67,351,861",3.9583,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-28,World Health Organization COVID-19 Dashboard,3039,"67,351,861",4.5121,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-29,World Health Organization COVID-19 Dashboard,3154,"67,351,861",4.6829,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-30,World Health Organization COVID-19 Dashboard,2774,"67,351,861",4.1187,
COVID-19,Unspecified,UNITED KINGDOM,2020-03-31,World Health Organization COVID-19 Dashboard,2818,"67,351,861",4.184,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-01,World Health Organization COVID-19 Dashboard,4195,"67,351,861",6.2285,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-02,World Health Organization COVID-19 Dashboard,4463,"67,351,861",6.6264,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-03,World Health Organization COVID-19 Dashboard,4891,"67,351,861",7.2619,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-04,World Health Organization COVID-19 Dashboard,4824,"67,351,861",7.1624,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-05,World Health Organization COVID-19 Dashboard,4852,"67,351,861",7.204,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-06,World Health Organization COVID-19 Dashboard,3976,"67,351,861",5.9033,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-07,World Health Organization COVID-19 Dashboard,3556,"67,351,861",5.2797,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-08,World Health Organization COVID-19 Dashboard,5273,"67,351,861",7.829,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-09,World Health Organization COVID-19 Dashboard,5477,"67,351,861",8.1319,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-10,World Health Organization COVID-19 Dashboard,5146,"67,351,861",7.6405,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-11,World Health Organization COVID-19 Dashboard,4875,"67,351,861",7.2381,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-12,World Health Organization COVID-19 Dashboard,4327,"67,351,861",6.4245,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-13,World Health Organization COVID-19 Dashboard,3585,"67,351,861",5.3228,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-14,World Health Organization COVID-19 Dashboard,3507,"67,351,861",5.207,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-15,World Health Organization COVID-19 Dashboard,4203,"67,351,861",6.2404,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-16,World Health Organization COVID-19 Dashboard,4335,"67,351,861",6.4363,
