ConditionName,Outcome,CountryName,Date,PartOfCumulativeCountSeries,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,BRAZIL,2020-01-04,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-05,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-06,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-07,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-08,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-09,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-10,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-11,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-12,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-13,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-14,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-15,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-16,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-17,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-18,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-19,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-20,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-21,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-22,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-23,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-24,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-25,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-26,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-27,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-28,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-29,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-30,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-01-31,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-01,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-02,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-03,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-04,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-05,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-06,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-07,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-08,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-09,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-10,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-11,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-12,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-13,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-14,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-15,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-16,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-17,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-18,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-19,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
COVID-19,Unspecified,BRAZIL,2020-02-20,1,World Health Organization COVID-19 Dashboard,0,"208,660,842",0.0000
