ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CANADA,2020-01-04,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-05,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-06,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-07,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-08,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-09,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-10,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-11,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-12,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-13,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-14,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-15,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-16,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-17,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-18,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-19,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-20,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-21,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-22,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-23,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-24,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-25,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-26,World Health Organization COVID-19 Dashboard,5,"38,171,902",0.0131
COVID-19,Unspecified,CANADA,2020-01-27,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-28,World Health Organization COVID-19 Dashboard,1,"38,171,902",0.0026
COVID-19,Unspecified,CANADA,2020-01-29,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-01-30,World Health Organization COVID-19 Dashboard,1,"38,171,902",0.0026
COVID-19,Unspecified,CANADA,2020-01-31,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-01,World Health Organization COVID-19 Dashboard,1,"38,171,902",0.0026
COVID-19,Unspecified,CANADA,2020-02-02,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-03,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-04,World Health Organization COVID-19 Dashboard,4,"38,171,902",0.0105
COVID-19,Unspecified,CANADA,2020-02-05,World Health Organization COVID-19 Dashboard,1,"38,171,902",0.0026
COVID-19,Unspecified,CANADA,2020-02-06,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-07,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-08,World Health Organization COVID-19 Dashboard,2,"38,171,902",0.0052
COVID-19,Unspecified,CANADA,2020-02-09,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-10,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-11,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-12,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-13,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-14,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-15,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-16,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-17,World Health Organization COVID-19 Dashboard,1,"38,171,902",0.0026
COVID-19,Unspecified,CANADA,2020-02-18,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-02-19,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
