ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CHINA,2020-01-04,World Health Organization COVID-19 Dashboard,1,"1,426,106,093",0.0001
COVID-19,Unspecified,CHINA,2020-01-05,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-06,World Health Organization COVID-19 Dashboard,3,"1,426,106,093",0.0002
COVID-19,Unspecified,CHINA,2020-01-07,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-08,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-09,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-10,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-11,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-12,World Health Organization COVID-19 Dashboard,41,"1,426,106,093",0.0029
COVID-19,Unspecified,CHINA,2020-01-13,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-14,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-15,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-16,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-17,World Health Organization COVID-19 Dashboard,4,"1,426,106,093",0.0003
COVID-19,Unspecified,CHINA,2020-01-18,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-01-19,World Health Organization COVID-19 Dashboard,76,"1,426,106,093",0.0053
COVID-19,Unspecified,CHINA,2020-01-20,World Health Organization COVID-19 Dashboard,77,"1,426,106,093",0.0054
COVID-19,Unspecified,CHINA,2020-01-21,World Health Organization COVID-19 Dashboard,93,"1,426,106,093",0.0065
COVID-19,Unspecified,CHINA,2020-01-22,World Health Organization COVID-19 Dashboard,147,"1,426,106,093",0.0103
COVID-19,Unspecified,CHINA,2020-01-23,World Health Organization COVID-19 Dashboard,132,"1,426,106,093",0.0093
COVID-19,Unspecified,CHINA,2020-01-24,World Health Organization COVID-19 Dashboard,261,"1,426,106,093",0.0183
COVID-19,Unspecified,CHINA,2020-01-25,World Health Organization COVID-19 Dashboard,462,"1,426,106,093",0.0324
COVID-19,Unspecified,CHINA,2020-01-26,World Health Organization COVID-19 Dashboard,688,"1,426,106,093",0.0482
COVID-19,Unspecified,CHINA,2020-01-27,World Health Organization COVID-19 Dashboard,776,"1,426,106,093",0.0544
COVID-19,Unspecified,CHINA,2020-01-28,World Health Organization COVID-19 Dashboard,1772,"1,426,106,093",0.1243
COVID-19,Unspecified,CHINA,2020-01-29,World Health Organization COVID-19 Dashboard,1464,"1,426,106,093",0.1027
COVID-19,Unspecified,CHINA,2020-01-30,World Health Organization COVID-19 Dashboard,1739,"1,426,106,093",0.1219
COVID-19,Unspecified,CHINA,2020-01-31,World Health Organization COVID-19 Dashboard,1984,"1,426,106,093",0.1391
COVID-19,Unspecified,CHINA,2020-02-01,World Health Organization COVID-19 Dashboard,2101,"1,426,106,093",0.1473
COVID-19,Unspecified,CHINA,2020-02-02,World Health Organization COVID-19 Dashboard,2590,"1,426,106,093",0.1816
COVID-19,Unspecified,CHINA,2020-02-03,World Health Organization COVID-19 Dashboard,2827,"1,426,106,093",0.1982
COVID-19,Unspecified,CHINA,2020-02-04,World Health Organization COVID-19 Dashboard,3233,"1,426,106,093",0.2267
COVID-19,Unspecified,CHINA,2020-02-05,World Health Organization COVID-19 Dashboard,3892,"1,426,106,093",0.2729
COVID-19,Unspecified,CHINA,2020-02-06,World Health Organization COVID-19 Dashboard,3697,"1,426,106,093",0.2592
COVID-19,Unspecified,CHINA,2020-02-07,World Health Organization COVID-19 Dashboard,3151,"1,426,106,093",0.2210
COVID-19,Unspecified,CHINA,2020-02-08,World Health Organization COVID-19 Dashboard,3387,"1,426,106,093",0.2375
COVID-19,Unspecified,CHINA,2020-02-09,World Health Organization COVID-19 Dashboard,2653,"1,426,106,093",0.1860
COVID-19,Unspecified,CHINA,2020-02-10,World Health Organization COVID-19 Dashboard,2984,"1,426,106,093",0.2092
COVID-19,Unspecified,CHINA,2020-02-11,World Health Organization COVID-19 Dashboard,2473,"1,426,106,093",0.1734
COVID-19,Unspecified,CHINA,2020-02-12,World Health Organization COVID-19 Dashboard,2022,"1,426,106,093",0.1418
COVID-19,Unspecified,CHINA,2020-02-13,World Health Organization COVID-19 Dashboard,15152,"1,426,106,093",1.0625
COVID-19,Unspecified,CHINA,2020-02-14,World Health Organization COVID-19 Dashboard,4050,"1,426,106,093",0.2840
COVID-19,Unspecified,CHINA,2020-02-15,World Health Organization COVID-19 Dashboard,2644,"1,426,106,093",0.1854
COVID-19,Unspecified,CHINA,2020-02-16,World Health Organization COVID-19 Dashboard,2008,"1,426,106,093",0.1408
COVID-19,Unspecified,CHINA,2020-02-17,World Health Organization COVID-19 Dashboard,2051,"1,426,106,093",0.1438
COVID-19,Unspecified,CHINA,2020-02-18,World Health Organization COVID-19 Dashboard,1893,"1,426,106,093",0.1327
COVID-19,Unspecified,CHINA,2020-02-19,World Health Organization COVID-19 Dashboard,1750,"1,426,106,093",0.1227
COVID-19,Unspecified,CHINA,2020-02-20,World Health Organization COVID-19 Dashboard,397,"1,426,106,093",0.0278
COVID-19,Unspecified,CHINA,2020-02-21,World Health Organization COVID-19 Dashboard,893,"1,426,106,093",0.0626
COVID-19,Unspecified,CHINA,2020-02-22,World Health Organization COVID-19 Dashboard,825,"1,426,106,093",0.0578
COVID-19,Unspecified,CHINA,2020-02-23,World Health Organization COVID-19 Dashboard,649,"1,426,106,093",0.0455
COVID-19,Unspecified,CHINA,2020-02-24,World Health Organization COVID-19 Dashboard,220,"1,426,106,093",0.0154
COVID-19,Unspecified,CHINA,2020-02-25,World Health Organization COVID-19 Dashboard,517,"1,426,106,093",0.0363
COVID-19,Unspecified,CHINA,2020-02-26,World Health Organization COVID-19 Dashboard,411,"1,426,106,093",0.0288
